trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
208,False,"{'a': 0.5, 'e': 0.123629034136362}",30,7,-7.033760185191488,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
209,False,"{'a': 0.5, 'e': 0.12239274379499838}",20,6,-10.365421978082125,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.1211688163570484}",30,14,23.006650618442407,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.11995712819347792}",30,16,-1.4909701949078604,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.11875755691154315}",30,17,12.192869431949072,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.11756998134242772}",25,12,18.188936985794964,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11639428152900344}",25,14,21.48057729050996,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11523033871371341}",25,16,12.756742267103903,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.11407803532657627}",20,0,17.592628520384135,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
217,False,"{'a': 0.5, 'e': 0.11293725497331052}",25,18,12.765739156317295,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.1118078824235774}",20,6,22.580523700593986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11068980359934164}",20,12,0.45700418540911447,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.10958290556334822}",25,0,1.910078588645687,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
221,False,"{'a': 0.5, 'e': 0.10848707650771475}",20,5,-20.982896605026827,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
222,False,"{'a': 0.5, 'e': 0.1074022057426376}",25,11,27.32176814579012,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10632818368521123}",25,18,16.611814001978374,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
